Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat_stream,41,0,8400,9131.54519024332,2843.3762999920873,21771.608499999274,430.0,0.7425509109063684,0.0,8400,9700,10000,12000,15000,19000,22000,22000,22000,22000,22000
POST,chat_stream_TPS,41,0,48000,46360.23591335528,14869.737137427574,74383.06175791808,430.0,0.7425509109063684,0.0,48000,54000,58000,60000,67000,72000,74000,74000,74000,74000,74000
POST,chat_stream_TTFT,41,0,2800,3504.1127560973287,1555.6525000138208,11016.36629999848,0.0,0.7425509109063684,0.0,2800,3200,3800,4100,6600,8300,11000,11000,11000,11000,11000
GET,health,7,0,11,9.744314285593905,4.4639999978244305,15.733499996713363,15.0,0.12677698478889216,0.0,11,11,13,13,16,16,16,16,16,16,16
,Aggregated,130,0,8300,18606.921988057937,4.4639999978244305,74383.06175791808,272.03846153846155,2.354429717507997,0.0,8400,15000,30000,41000,55000,63000,72000,72000,74000,74000,74000
