Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat_stream,36,35,40000,39474.771188888146,16035.372899990762,49889.46710000164,1.5,0.6165546799822982,0.599428161093901,40000,44000,46000,46000,48000,49000,50000,50000,50000,50000,50000
POST,chat_stream_TPS,1,0,3367.554988386401,3367.554988386401,3367.554988386401,3367.554988386401,54.0,0.017126518888397172,0.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
POST,chat_stream_TTFT,36,0,40000,39112.21352499988,2991.4376999950036,49889.139999999315,0.0,0.6165546799822982,0.0,40000,44000,46000,46000,48000,49000,50000,50000,50000,50000,50000
GET,health,15,0,130,156.32002666631402,63.244699995266274,391.24969999829773,15.0,0.2568977833259576,0.0,130,150,240,240,240,390,390,390,390,390,390
,Aggregated,88,35,38000,32214.13414873126,63.244699995266274,49889.46710000164,3.784090909090909,1.507133662178951,0.599428161093901,39000,41000,44000,46000,48000,48000,50000,50000,50000,50000,50000
