Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat_stream,56,56,41000,41367.88928035717,30094.02499999851,55308.71450000268,0.0,0.9795017058676793,0.9795017058676793,42000,45000,47000,47000,51000,51000,54000,55000,55000,55000,55000
POST,chat_stream_TTFT,56,0,41000,41367.67073750136,30093.85290001228,55308.547399996314,0.0,0.9795017058676793,0.0,42000,45000,47000,47000,51000,51000,54000,55000,55000,55000,55000
GET,health,55,0,440,463.9159636373568,82.96299999346957,1249.709299998358,15.0,0.962010603977185,0.0,440,520,580,590,1000,1200,1200,1200,1200,1200,1200
,Aggregated,167,56,36000,27896.447538922937,82.96299999346957,55308.71450000268,4.940119760479042,2.9210140157125433,0.9795017058676793,36000,41000,45000,45000,49000,51000,54000,55000,55000,55000,55000
