Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat_stream,52,52,46000,45203.72352884637,31593.037500002538,55535.26160000183,0.0,0.8837715156871913,0.8837715156871913,47000,51000,51000,52000,53000,54000,54000,56000,56000,56000,56000
POST,chat_stream_TTFT,52,0,46000,45203.50614615297,31592.77909999946,55535.07969999919,0.0,0.8837715156871913,0.0,47000,51000,51000,52000,53000,54000,54000,56000,56000,56000,56000
GET,health,34,0,240,302.5086970583823,66.43800000892952,735.3716999932658,15.0,0.5778506064108558,0.0,240,310,430,500,510,690,740,740,740,740,740
,Aggregated,138,52,41000,34141.02346956486,66.43800000892952,55535.26160000183,3.6956521739130435,2.345393637785238,0.8837715156871913,41000,49000,51000,51000,53000,53000,54000,56000,56000,56000,56000
