Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat_stream,66,66,49000,47502.2606984849,31249.698500003433,57714.64930000366,0.0,1.1056623435698674,1.1056623435698674,49000,51000,52000,54000,56000,57000,58000,58000,58000,58000,58000
POST,chat_stream_TTFT,66,0,49000,47502.04467121314,31249.26900000719,57714.38430000853,0.0,1.1056623435698674,0.0,49000,51000,52000,54000,56000,57000,58000,58000,58000,58000,58000
GET,health,107,0,370,447.93191401923843,114.841400005389,874.9742000072729,15.0,1.7925131933632699,0.0,370,440,660,710,780,840,860,870,870,870,870
,Aggregated,239,66,36000,26436.03710962395,114.841400005389,57714.64930000366,6.7154811715481175,4.003837880503005,1.1056623435698674,36000,46000,50000,51000,55000,56000,57000,58000,58000,58000,58000
