Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat_stream,46,37,44000,42790.008736955904,30500.360599995474,53378.88890001341,85.1304347826087,0.7732634123407268,0.6219727447088456,44000,46000,47000,48000,51000,52000,53000,53000,53000,53000,53000
POST,chat_stream_TPS,9,0,8000,9458.499206139317,5076.913468686531,14462.258269706526,435.1111111111111,0.15129066763188134,0.0,8000,9100,13000,14000,14000,14000,14000,14000,14000,14000,14000
POST,chat_stream_TTFT,46,0,40000,35848.2102826089,7151.699199996074,52112.272800004575,0.0,0.7732634123407268,0.0,41000,44000,46000,46000,49000,50000,52000,52000,52000,52000,52000
GET,health,10,0,340,453.00591999839526,91.7730999935884,1459.108600000036,15.0,0.1681007418132015,0.0,460,460,590,600,1500,1500,1500,1500,1500,1500,1500
,Aggregated,111,37,40000,33396.52817076772,91.7730999935884,53378.88890001341,71.90990990990991,1.8659182341265366,0.6219727447088456,40000,44000,46000,47000,49000,51000,52000,52000,53000,53000,53000
