Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat_stream,2,2,40104.59439999249,40899.7928999961,40104.59439999249,41694.99139999971,0.0,0.047949419201310205,0.047949419201310205,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
POST,chat_stream_TTFT,2,0,40104.26659999939,40899.4617999997,40104.26659999939,41694.65700000001,0.0,0.047949419201310205,0.0,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
GET,health,57,0,76,70.39396315859018,4.659300000639632,111.06930000823922,15.0,1.3665584472373407,0.0,76,77,83,86,110,110,110,110,110,110,110
,Aggregated,61,2,76,2747.720742623463,4.659300000639632,41694.99139999971,14.01639344262295,1.4624572856399611,0.047949419201310205,76,79,86,88,110,40000,42000,42000,42000,42000,42000
