Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat_stream,1,1,30828.48249998642,30828.48249998642,30828.48249998642,30828.48249998642,0.0,0.032429799501948714,0.032429799501948714,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
POST,chat_stream_TTFT,1,0,30828.296799998498,30828.296799998498,30828.296799998498,30828.296799998498,0.0,0.032429799501948714,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,health,34,0,54,52.386573529956344,3.8115000061225146,130.2159000042593,15.0,1.1026131830662562,0.0,54,56,58,58,62,70,130,130,130,130,130
,Aggregated,36,1,54,1762.1645222223176,3.8115000061225146,30828.48249998642,14.166666666666666,1.1674727820701536,0.032429799501948714,55,58,58,60,70,31000,31000,31000,31000,31000,31000
