Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat_stream,5,5,48000,47593.963179999264,38355.484699990484,54953.857700005756,0.0,0.09097403441336889,0.09097403441336889,48000,52000,52000,55000,55000,55000,55000,55000,55000,55000,55000
POST,chat_stream_TTFT,5,0,48000,47593.75474000117,38355.182300001616,54953.70530000946,0.0,0.09097403441336889,0.0,48000,52000,52000,55000,55000,55000,55000,55000,55000,55000,55000
GET,health,100,0,120,133.26527600118425,5.41670000529848,472.4197000032291,15.0,1.8194806882673777,0.0,120,130,140,140,160,290,460,470,470,470,470
,Aggregated,110,5,120,4447.864701819278,5.41670000529848,54953.857700005756,13.636363636363637,2.0014287570941156,0.09097403441336889,120,130,140,150,470,48000,52000,55000,55000,55000,55000
