Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat_stream,67,37,37000,41119.45959552188,4158.990600000834,145979.35099998722,236.59701492537314,0.20218538445126596,0.1116546152939827,37000,44000,45000,48000,59000,120000,120000,146000,146000,146000,146000
POST,chat_stream_TPS,31,0,20000,20681.367558578702,954.5022489221341,48977.5386320165,511.35483870967744,0.09354846146252604,0.0,20000,25000,29000,30000,37000,46000,49000,49000,49000,49000,49000
POST,chat_stream_TTFT,63,0,30000,29749.721400000635,3652.6122000068426,61707.27539999643,0.0,0.19011461523029488,0.0,30000,39000,41000,44000,48000,54000,59000,62000,62000,62000,62000
GET,health,5,0,14,52.33832000230905,5.301500001223758,117.81939999491442,15.0,0.015088461526213879,0.0,14,120,120,120,120,120,120,120,120,120,120
,Aggregated,166,37,30000,31750.724861541938,5.301500001223758,145979.35099998722,191.43975903614458,0.5009369226703008,0.1116546152939827,30000,38000,42000,44000,49000,59000,120000,120000,146000,146000,146000
