Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,chat_stream,4,4,41938.74369999685,41511.265600001934,40553.61090000952,41938.74369999685,0.0,0.09535540851107649,0.09535540851107649,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
POST,chat_stream_TTFT,4,0,41938.54950000241,41511.04605000364,40553.3385000017,41938.54950000241,0.0,0.09535540851107649,0.0,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
GET,health,7,0,34,32.46798571490217,27.60370000032708,38.56180000002496,15.0,0.16687196489438386,0.0,34,35,36,36,39,39,39,39,39,39,39
,Aggregated,15,4,41000,22154.434833335108,27.60370000032708,41938.74369999685,7.0,0.35758278191653686,0.09535540851107649,41000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
